"Metropolitan area","All occupations","S&E occupations","Metropolitan area workforce in S&E occupations (%)"
"U.S. total","135,128,260","6,318,580","4.7"
"Framingham, MA, NECTA Division","162,170","21,010","13.0"
"Washington-Arlington-Alexandria, DC-VA-MD-WV, Metropolitan Division","2,378,260","259,080","10.9"
"Seattle-Bellevue-Everett, WA, Metropolitan Division","1,492,650","154,480","10.3"
"Bethesda-Rockville-Frederick, MD, Metropolitan Division","566,300","55,860","9.9"
"San Francisco–San Mateo–Redwood City, CA, Metropolitan Division","1,086,660","105,430","9.7"
"Boston-Cambridge-Quincy, MA, NECTA Division","1,795,230","157,300","8.8"
"Lowell-Billerica-Chelmsford, MA-NH, NECTA Division","118,980","10,420","8.8"
"U.S. total","135,128,260","6,318,580","4.7"
"Framingham, MA, NECTA Division","162,170","21,010","13.0"
"Washington-Arlington-Alexandria, DC-VA-MD-WV, Metropolitan Division","2,378,260","259,080","10.9"
"Seattle-Bellevue-Everett, WA, Metropolitan Division","1,492,650","154,480","10.3"
"Bethesda-Rockville-Frederick, MD, Metropolitan Division","566,300","55,860","9.9"
"San Francisco–San Mateo–Redwood City, CA, Metropolitan Division","1,086,660","105,430","9.7"
"Boston-Cambridge-Quincy, MA, NECTA Division","1,795,230","157,300","8.8"
"Lowell-Billerica-Chelmsford, MA-NH, NECTA Division","118,980","10,420","8.8"
"U.S. total","135,128,260","6,318,580","4.7"
"Framingham, MA, NECTA Division","162,170","21,010","13.0"
"Washington-Arlington-Alexandria, DC-VA-MD-WV, Metropolitan Division","2,378,260","259,080","10.9"
"Seattle-Bellevue-Everett, WA, Metropolitan Division","1,492,650","154,480","10.3"
"Bethesda-Rockville-Frederick, MD, Metropolitan Division","566,300","55,860","9.9"
"San Francisco–San Mateo–Redwood City, CA, Metropolitan Division","1,086,660","105,430","9.7"
"Boston-Cambridge-Quincy, MA, NECTA Division","1,795,230","157,300","8.8"
"Lowell-Billerica-Chelmsford, MA-NH, NECTA Division","118,980","10,420","8.8"

